순위,도서명,상세링크,저자,출판사,출판일,판매가,정가,판매지수,평점,리뷰수,책소개
11,챗GPT · 제미나이 · 클로드까지 모두를 위한 AI,https://www.yes24.com/product/goods/192877325,지현이,시프트,2026년 07월,"19,800","22,000","5,577",10.0,3,"AI가 세상을 바꾸고 있다는 이야기는 많이 들었지만, 막상 시작하려니 어디서부터 시작해야 할지 막막했다면? 수많은 AI 중 어떤 것을 선택할지, 무료와 유료의 차이는 무엇인지, 내가 입력한 정보가 유출되지는 않을지 걱정된다면? 단순한 검색용을 넘어, 업무와 일상에 활용하는 방법이 궁금했다면, 이 책이 완벽한 해답을 제공해 줄 것이다."
12,바쁜 교사를 위한 바로 쓰는 AI,https://www.yes24.com/product/goods/185897982,"전소영, 이태화, 조두연",사회평론아카데미,2026년 04월,"21,600","24,000","21,288",10.0,20,"본격적인 디지털 대전환 시대, 바쁜 교사를 위한 가장 실용적인 해답을 담았다. 단순한 AI 도구 소개를 넘어, 교육의 본질에 집중하면서도 업무 효율을 극대화하는 실전 활용법을 제시한다. 패들렛, 제미나이, 챗GPT, 캔바, 노트북LM, 클리포 등 19가지 AI, 에듀테크 도구 활용법과 교실에서 바로 쓸 수 있는 템플릿과 프롬프트도 함께 제공한다."
13,현직 영어 쌤들의 바로 통하는 영어 수업 루틴 찐 실전 ChatGPT (생성형 AI (에듀테크) 영어 수업 루틴 활용하기!),https://www.yes24.com/product/goods/193389466,"권수정, 장은정, 이민화, 강미나, 유지민",광문각출판미디어,2026년 07월,"19,000","19,000","4,920",10.0,19,"우리의 수업은 매일 반복되지만, 그 안의 고민은 매번 새롭습니다. ‘교과서 수업의 본질을 잃지 않으면서도 수많은 자료와 도구에 헤매지 않는 수업 디자인 방법은 없을까’라는 고민에서 이 책은 시작되었습니다. 동시에 끊임없이 진화하는 인공지능(AI)의 발전을 현시대 교육에 어떻게 접목해 본질을 잃지 않는 수업을 만들어 낼 것인가 고민했습니다."
14,클로드 코드로 시작하는 실전 에이전틱 코딩,https://www.yes24.com/product/goods/189211422,Goos Kim,더 타이즈,2026년 05월,"29,700","33,000","21,306",9.8,12,
15,요즘 교사를 위한 AI 수업 활용 가이드 with 2022 개정 교육과정,https://www.yes24.com/product/goods/145426898,"박진환, 공지훈, 서원진",한빛미디어,2025년 05월,"18,000","20,000","83,292",9.8,65,"『요즘 교사를 위한 AI 수업 활용 가이드』는 2022 개정 교육과정에 맞춰 디지털 기반 아날로그 수업을 실현하기 위한 실전 AI 활용법을 담고 있다. 챗GPT, 구글 스프레드시트, 캔바, 퍼플렉시티, 클로드 등 다양한 AI 도구를 수업 준비부터 행정 업무, 학급 운영까지 교육 전반에 적용할 수 있도록 구체적인 활용 방법을 제시하고 있다. 또한, 저자가 직접 운영하는 웹사이트 FOREDUCATOR를 통해, 생활기록부, 평가 계획 작성 등 교육 활동을 지원하고, 수업 운영에 필요한 챗봇 템플릿도 제공한다. 이 책에서 소개하는 예시와 실습을 하나씩 따라 하다 보면, 어느새 생성형 AI는 단순한 기술이 아니라 교사의 업무를 돕고, 수업의 질을 높이며, 학급 운영을 더 스마트하게 만드는 동반자가 되어 있을 것이다."
16,일 잘하는 직장인의 AI 활용법,https://www.yes24.com/product/goods/189531001,"김덕중, 김민정, 김인선",디지털북스,2026년 05월,"19,800","22,000","9,411",10.0,7,"AI 툴을 써봤지만, 달라진 게 없다면, 그건 도구의 문제가 아닙니다. 《일 잘하는 직장인의 AI 활용법》은 왜 같은 AI를 써도 어떤 사람의 하루는 바뀌고, 어떤 사람의 하루는 그대로인지를 분석합니다. 그리고 그 차이를 만드는 핵심, ‘업무 구조 설계’를 직장인의 실제 업무 영역별로 나누어 설명합니다."
17,된다! 캡컷 영상 편집,https://www.yes24.com/product/goods/188182444,지민이,이지스퍼블리싱,2026년 05월,"19,800","22,000","11,352",10.0,31,영상 편집이라는 단어만 봐도 지끈거린다면 주목! ‘캡컷’은 인터페이스가 직관적이고 기능이 간단해서 기본 사용법만 익히면 누구나 쉽게 영상을 편집할 수 있다. 게다가 영상 편집에 필요한 대부분의 기능을 무료로 제공하므로 왕초보도 부담 없이 시작할 수 있다.
18,진짜 쓰는 실무 엑셀,https://www.yes24.com/product/goods/106711883,전진권,제이펍,2022년 02월,"18,900","21,000","66,294",9.8,388,"오랜 시간 엑셀은 수많은 발전을 거듭하였고, Office 365에서 Microsoft 365로 브랜드명을 변경하기까지 다양한 기능, 특히 동적 배열 함수가 추가되면서 매크로를 사용하지 않고도 많은 부분을 해결할 수 있도록 개선되었다. 이 책에서 소개하는 제대로 된 실무 활용 기능을 익힌다면 방대한 데이터에서 특정 자료를 취합하고 분석하기, 분석된 자료를 한눈에 보기 좋게 시각화하기, 반복되는 작업을 효율적으로 개선하기 등 회사에서 원하는 엑셀 사용 능력을 충분히 뛰어넘을 수 있을 것이다."
19,Do it! 점프 투 파이썬,https://www.yes24.com/product/goods/119293186,박응용,이지스퍼블리싱,2023년 06월,"19,800","22,000","40,797",9.7,151,"중고등학생도, 비전공자도, 직장인도 프로그래밍에 눈뜨게 만든 바로 그 책이 전면 개정 2판으로 새롭게 태어났다! 챗GPT를 시작으로 펼쳐진 생성 AI 시대에 맞춰 설명과 예제를 다듬고, 최신 경향과 심화 내용을 보충했다. 또한 이번 개정 2판도 50만 코딩 유튜버인 조코딩과 협업을 통해 유튜브 동영상을 제공해 파이썬을 더 쉽게 공부할 수 있다."
20,"조코딩의 바이브 코딩 1인 창업 with 클로드 코드, 수파베이스, 스트라이프",https://www.yes24.com/product/goods/189855418,조동근,한빛미디어,2026년 05월,"27,000","30,000","13,014",9.6,18,"AI 기술의 급속한 발전은 1인 창업가에게 전례 없는 기회를 열어 주고 있습니다. 샘 올트먼이 예고한 ‘1인 유니콘 시대’, 즉 단 한 사람이 AI를 활용해 기업 가치 10억 달러 이상의 회사를 만들 수 있는 시대가 되었습니다. 코딩, 디자인, 마케팅 등 모든 분야의 경계를 허무는 AI와 함께라면, 이제 누구나 아이디어만으로 고객에게 가치 있고 가격을 지불할 만한 제품을 만들 수 있습니다. 이 책은 단순히 AI 사용법을 알려 주지 않습니다. 가치 있는 아이디어를 기획하고, 아이디어가 서비스가 되고, 서비스가 수익이 되는 모든 과정을 샅샅이 살펴봅니다. 여기서 나아가 단발성 광고 수익이 아닌, 주기적 매출을 만드는 글로벌 구독형 서비스로 재탄생시키는 모든 단계를 생생하게 알려드립니다."
21,교사를 위한 AI 에듀테크 수업·생활·업무 대백과,https://www.yes24.com/product/goods/189634812,"송해남, 한의표, 김은서, 박수임, 김혜진, 정보 더 보기/감추기, 송해남, 한의표, 김은서, 박수임, 김혜진, 유영재",프리렉,2026년 05월,"24,300","27,000","9,549",10.0,24,"급변하는 AI 시대, 새로운 도구가 등장할 때마다 밀린 숙제를 마주하듯 막막하셨나요? 2022 개정 교육과정과 AI 디지털 교과서 도입을 앞둔 지금, 교육 현장에 진짜 필요한 것은 화려한 기술의 나열이 아니라 교실에서 즉시 써먹을 수 있는 실천적 대안입니다. 이 책은 단순히 기능을 설명하는 매뉴얼에서 완전히 벗어났습니다. 현직 교사들이 교실에서 직접 검증하고 엄선한 41개의 핵심 AI 및 에듀테크 도구를 통해, 교사의 하루를 관통하는 세 가지 축인 [수업·생활·업무]의 가장 면밀한 실전 지침을 제시합니다."
22,UX의 언어들,https://www.yes24.com/product/goods/193444437,"한성희, 신행철",파지트,2026년 07월,"15,300","17,000","2,250",10.0,2,"『UX의 언어들』은 일상 속에 스며든 UX를 UX 디자이너의 시선으로 풀어내며, 우리가 이를 어떻게 경험하고 소비하는지 넷플릭스, 카카오 등 친숙한 사례를 통해 UX의 세계로 안내한다."
23,바로바로 제미나이 X 구글 AI,https://www.yes24.com/product/goods/189114942,공냥이,골든래빗,2026년 06월,"21,600","24,000","10,419",10.0,1,"오늘날 구글은 더 이상 단순한 검색 엔진 서비스가 아니다. 구글 독스·지메일·스프레드시트 같은 워크스페이스 도구에는 제미나이가 깊숙이 녹아들었고, 노트북LM은 수많은 문서와 자료를 한데 모아 대화로 답해주는 개인 AI 비서가 되었다. 이미지는 나노 바나나 2로 문장 하나만 입력하면 뚝딱 완성되며, 영상 제작은 구글의 고성능 생성 모델인 Veo 3.1이 그 과정을 돕는다. 또한, 제미나이는 구글 워크스페이스 안에서 문서 작업 시 실시간으로 내용을 수정하고 제안하는 인터랙티브 파트너 역할을 하며, 구글 AI 스튜디오에서는 코딩 지식이 없어도 대화만으로 웹 화면을 설계하는 ‘바이브 코딩’을 경험할 수 있다. 나아가 이 모든 반복 업무는 제미나이의 워크플로 자동화 기능을 통해 효율적으로 처리된다. 구글이라는 거대한 생태계 안에 이 모든 혁신이 이미 들어와 있다."
24,클로드 코드 마스터,https://www.yes24.com/product/goods/186846424,"이남희, 백승현",한빛미디어,2026년 04월,"32,400","36,000","14,109",9.8,24,"AI 에이전틱 코딩의 실전 워크플로를 처음부터 끝까지 담은 최초의 클로드 코드 전문서. AI 코딩 도구는 이제 스스로 작업을 정의하고, 설계하고, 테스트까지 반복하는 '에이전트'로 진화했다. 이 책은 그 변화의 중심에 있는 클로드 코드를 실무에서 제대로 활용하는 법을 알려준다. 설치와 환경 설정부터 풀스택 TODO 앱 구현, AWS Bedrock과 연동한 AI 챗봇 개발까지, 실제 프로젝트를 함께 만들어가며 AI와 협업하는 개발자의 역할과 방법론을 체득할 수 있다."
25,3줄의 글로 수익을 만드는 스레드 운영법,https://www.yes24.com/product/goods/159167901,이동영,한빛미디어,2025년 10월,"18,000","20,000","13,758",9.6,40,"메타가 선보인 신생 SNS 스레드(Threads)는 뜨겁게 떠오른 플랫폼이다. 뉴스 기사에서는 '스레드 일일 사용자 수가 트위터(X)를 뛰어넘었다', '텍스트힙을 선도하는 스레드가 835% 폭풍 성장했다'는 보도가 이어지고 있다."
26,혼자 공부하는 파이썬,https://www.yes24.com/product/goods/109625396,윤인성,한빛미디어,2022년 06월,"19,800","22,000","21,978",9.4,105,"『혼자 공부하는 파이썬』이 더욱 흥미있고 알찬 내용으로 개정되었다. 프로그래밍이 정말 처음인 입문자도 따라갈 수 있는 친절한 설명과 단계별 학습은 그대로! 혼자 공부하더라도 체계적으로 계획을 세워 학습할 수 있도록 ‘혼공 계획표’를 새롭게 추가했다. 또한 입문자가 자주 물어보는 질문과 오류 해결 방법을 적재적소에 배치하여 예상치 못한 문제에 부딪혀도 좌절하지 않고 끝까지 완독할 수 있도록 도와준다. 단순한 문법 암기와 코딩 따라하기에 지쳤다면, 새로운 혼공파와 함께 ‘누적 예제’와 ‘도전 문제’로 프로그래밍의 신세계를 경험해 보자! 배운 내용을 씹고 뜯고 맛보고 즐기다 보면 응용력은 물론 알고리즘 사고력까지 키워 코딩 실력이 쑥쑥 성장할 것이다."
27,교사와 학부모를 위한 바이브 코딩,https://www.yes24.com/product/goods/192876161,"황건호, 신종환, 김형규, 김명휘",씨마스21,2026년 07월,"24,300","27,000","3,078",,,"생성형 AI와의 대화만으로 교육용 웹앱과 학습 도구를 직접 만들어 보는 실전 안내서 『교사와 학부모를 위한 바이브 코딩』이 출간된다. 이 책은 코딩 경험이 없는 교사와 학부모도 AI에게 필요한 기능을 설명하고, 결과를 확인하며 다시 수정하는 과정을 통해 수업과 학습에 바로 활용할 수 있는 도구를 만들 수 있도록 안내한다."
28,지적 대화를 위한 AI 언어 수업,https://www.yes24.com/product/goods/189212536,강수진,어웨이크(AWAKE),2026년 05월,"18,000","20,000","12,750",10.0,1,"누구나 AI를 사용하지만 모두가 원하는 답을 얻지는 못한다. 차이를 만드는 결정적 한 끗은 더 좋은 모델을 쓰는 것도, 더 많은 기법을 아는 것도 아니다. 바로 ‘언어’를 잘 다루는 것이다. 국내 공채 1호 프롬프트 엔지니어이자 언어학자인 강수진 박사는 프롬프트의 본질은 명령어 기술이 아니라 ‘좋은 대화 상대가 되는 법’에 있다고 말한다. AI 앞에서 많은 사람이 요청을 던지고 알아서 해주기를 기대하지만, 좋은 결과는 언제나 좋은 대화에서 나온다."
29,피지컬 AI 시스템 설계,https://www.yes24.com/product/goods/192505185,엥지유니버스,한빛미디어,2026년 06월,"27,000","30,000","6,873",10.0,2,"AI의 다음 무대는 더 이상 화면 안에만 머물지 않습니다. 지금까지의 생성형 AI가 글을 쓰고, 이미지를 만들고, 코드를 생성하는 지능이었다면, 피지컬 AI는 그 지능을 현실 세계의 물체와 공간, 센서, 로봇의 움직임으로 확장하려는 새로운 흐름입니다. 이제 중요한 질문은 “AI가 무엇을 말할 수 있는가”가 아니라 “AI가 현실 세계에서 무엇을 할 수 있는가”입니다."
30,된다! 하루 만에 끝내는 제미나이 활용법,https://www.yes24.com/product/goods/163301895,권서림,이지스퍼블리싱,2025년 11월,"18,000","20,000","76,161",9.8,78,"이 책은 AI에 쉽게 적응하고 싶은 초보자를 위한 제미나이 입문서이다. AI 활용에 익숙하지 않은 분들을 위해 제미나이에 회원 가입하고 간단한 대화를 나누는 것으로 시작해 상황별로 쓸 수 있는 제미나이 활용법 70가지를 수록했다. 실무에서 바로 적용할 수 있는 예제부터 일상생활에 접목해서 사용할 수 있는 예제까지 한 권으로 만나 볼 수 있어서 효용성이 매우 높다. 아울러 이동하면서도 제미나이를 이용할 수 있도록 스마트폰 제미나이 앱 사용법도 담았다. 제미나이 모델을 이용한 구글의 AI 서비스, 노트북LM과 구글 AI 스튜디오도 빼놓을 수 없다. 나노 바나나로 이미지 생성하고 비오(Veo)로 동영상을 만들다 보면 제미나이의 가치를 200% 활용할 수 있다."
31,"클로드 올인원 with 코워크, 코드, 디자인",https://www.yes24.com/product/goods/192127768,"클리커, 강민혁",한빛미디어,2026년 06월,"28,800","32,000","4,530",9.8,13,"코딩은 몰라도 됩니다. 터미널 명령도, 어려운 문법도 외울 필요 없습니다. 회의록 정리와 고객 답장처럼 지금 당장 급한 일에서 출발해, 반복 업무를 스킬로 줄이고, 외부 자료를 커넥터로 끌어오고, 마지막엔 웹 매출 데이터를 가져와 대시보드 한 화면으로 완성하는 데까지 직접 따라가 봅니다. '실전 AI는 개발자의 것'이라는 생각이 무너지는 순간을, 매일 메일을 정리하고 보고서를 다듬는 여러분이 직접 만들게 됩니다. 비결은 화려한 프롬프트가 아닙니다. 이제 중요한 질문은 '어떻게 물어볼까'가 아니라 '이 일을 어디에 맡길까'로 바뀌었고, 이 책은 채팅·코워크·코드·디자인을 그 하나의 기준으로 꿰어 줍니다. 손에 쥔 일을 작은 단위로 쪼개고, 맞는 도구를 골라, 확인할 수 있는 결과로 돌려받는 법. 이 책을 통해 여러분은 AI를 신기한 도구가 아니라 매일 일을 덜어주는 업무 동료로 바꿀 수 있습니다."
32,요즘 교사를 위한 에듀테크 수업 활용 가이드 with 2022 개정 교육과정,https://www.yes24.com/product/goods/183538633,"박진환, 서원진, 박권",한빛미디어,2026년 04월,"21,600","24,000","12,267",9.9,124,"이 책은 단순히 도구의 기능을 나열하는 대신, 선생님들이 교실 현장에서 매일 마주하는 구체적인 문제 상황을 실전 사례로 제시하고 있다. 잠자는 아이들을 깨우는 몰입형 퀴즈 수업부터 퇴근 시간을 앞당기는 업무 자동화 비법까지, 현직 교사 3인이 직접 검증한 에듀테크 솔루션을 정성껏 담아냈다."
33,딥 유토피아,https://www.yes24.com/product/goods/192878493,"닉 보스트롬, 김의석",까치(까치글방),2026년 05월,"25,200","28,000","1,596",,,[
34,바이브 코더를 위한 최소한의 AI/IT 지식,https://www.yes24.com/product/goods/187173505,"클리커, 이희영",한빛미디어,2026년 04월,"19,800","22,000","6,561",10.0,52,
35,원하는 대로 튜닝하는 나만의 sLLM,https://www.yes24.com/product/goods/193160264,오지영,길벗,2026년 07월,"30,600","34,000","1,182",10.0,1,"최근 AI 시장에서는 LLM과 함께 비용 효율성과 보안성을 갖춘 sLLM이 기업 AI의 새로운 선택지로 주목받고 있습니다. sLLM은 적은 연산 자원으로도 높은 성능을 제공하며, 기업 내부망이나 에지 디바이스에 안전하게 배포할 수 있어 비용과 보안 측면에서 큰 강점을 갖습니다."
36,"요즘 교사를 위한 구글 AI 3대장_제미나이, 노트북LM, AI 스튜디오",https://www.yes24.com/product/goods/191481932,"송명신, 최연준, 최수진, 양서현",앤써북,2026년 06월,"15,930","17,700","5,454",10.0,15,이 책은 교사가 가장 많이 활용하는 구글 AI 핵심 3종을 중심축으로 설명한다.
37,"클로드 코워크 with 스킬, 플러그인",https://www.yes24.com/product/goods/183674597,"클리커, 강민혁",한빛미디어,2026년 03월,"23,400","26,000","12,639",9.1,23,"보고서를 쓸 때마다 엑셀을 열고, 복사하고, 붙여 넣는 반복. 회의록에서 액션 아이템을 뽑아 이메일 초안까지 만드는 긴 흐름. 번거롭다는 걸 알면서도 손으로 하고 있는 일들… 이 번거로움의 정체는 하나입니다. AI가 답변을 줘도, 파일을 열고 저장까지는 안 해준다는 것이다."
38,한 권으로 끝내는 제미나이 재테크,https://www.yes24.com/product/goods/193044742,조성호,한빛미디어,2026년 07월,"18,900","21,000","1,290",10.0,1,"유튜브에는 투자 비법이 넘쳐나고, 서점에는 부자가 되는 공식이 가득합니다. 하지만 워런 버핏의 투자법을 따라 한다고 모두가 워런 버핏이 될 수는 없습니다. 문제는 정보가 부족해서가 아니라, 나에게 맞는 답을 찾지 못해서입니다. 이 책은 재무전략, 자산관리, 주식·ETF·부동산 투자, 절세, 연금까지 경제생활 전반에 필요한 재테크 인사이트를 한 권에 담았습니다. 특히 300개 이상의 제미나이 프롬프트를 활용해 소비, 투자, 절세, 연금에 이르기까지 자신의 상황에 맞는 재테크 전략을 찾아갈 수 있습니다. 더 이상 남의 투자법을 따라 하지 말고, AI를 나만의 금융 비서로 활용하며 자신만의 경제 지도를 만들어 보세요."
39,슬기로운 교사 생활 캔바 AI 수업 활용법,https://www.yes24.com/product/goods/192877328,미나리쌤,골든래빗,2026년 07월,"21,420","23,800","1,578",10.0,12,"디지털 대전환 시대, 쏟아지는 에듀테크 도구 속에서 진정으로 교사의 업무를 덜어주고 수업의 질을 높일 방법은 무엇일까요? 이 책은 단순한 기능 설명이나 흔한 템플릿 편집을 안내하는 데 머무는 기존 도서들과 궤를 달리합니다. 에듀테크가 낯선 초보 교사부터 최신 AI 기술을 수업에 즉각 적용하고 싶은 교사까지 모두를 대상으로 삼아, 현장 교사들이 가장 고민하는 ‘업무 경감’과 ‘깊이 있는 수업’을 동시에 해결하기 위해 기획되었습니다. 교육용 계정 인증과 학생 과제 배포 등 탄탄한 기본기를 시작으로, 현수막이나 대량 상장 같은 필수 학급 자료 제작 노하우를 담아 반복되는 업무를 획기적으로 줄여줍니다. 특히 발표자 추첨기나 퀴즈 앱을 직접 구현해보는 ‘바이브 코딩’ 방법과, 문장 한 줄로 자료를 뚝딱 만들어내는 ‘Canva AI 2.0’ 활용법, AI 아바타 선생님 제작 및 챗GPT 연계 기획 노하우까지 심도 있게 다룬 점은 이 책만의 가장 강력한 차별점입니다. 캔바를 그저 다루기 좋은 도구로 소개하는 것을 넘어 교사의 디지털 역량을 최신 AI 수준까지 끌어올려 주는 체계적인 로드맵을 차근차근 따라가다 보면, 복잡한 준비는 AI에게 맡기고 선생님은 아이들과 눈 맞추는 본연의 시간에 더욱 집중할 수 있게 될 것입니다."
40,세컨드 브레인은 옵시디언 with 클로드 코드,https://www.yes24.com/product/goods/184275427,시안,골든래빗,2026년 04월,"23,750","25,000","6,441",9.8,37,"수많은 독자의 지식 관리를 혁신한 『세컨드 브레인은 옵시디언』이 AI와 함께 더 강력해져 돌아왔다. 왕초보를 위한 설치부터 기본 설정, 개발자를 위한 심화 기능까지 옵시디언을 활용해 두뇌를 200% 이상 활용할 수 있게 해주던 전작에 압도적인 무기들을 전면 추가했다. 옵시디언 매뉴얼에서 그치는 것이 아니라 정보를 저장하고 정리하는 이론인 제텔카스텐과 PARA까지 함께 설명하며 여기에 클로드 코드를 활용한 노트 자동화 노하우까지 담았다!"
41,제미나이 교사 마스터 플랜 (2026년 최신판),https://www.yes24.com/product/goods/183545796,한민철,책바세,2026년 04월,"27,000","30,000","9,732",10.0,26,"이 책은 누구나 일상과 업무 현장에서 즉시 활용할 수 있는 실전 중심의 AI 가이드북이다. 효과적인 프롬프트 작성법부터 개인용 웹앱 제작, 구글 AI 도구 활용, 반복 업무 자동화까지 실제 생활 흐름에 맞춰 체계적으로 안내한다. 특히, 제미나이 캔버스를 활용한 '바이브 코딩(Vibe Coding)' 방식을 통해 코딩을 전혀 모르는 비전공자도 나만의 업무용 웹앱, 맞춤형 자료, 간단한 게임이나 시뮬레이터를 직접 만들 수 있다. 또한 노트북LM, 구글 AI 스튜디오, 스프레드시트 AI 함수 등 강력한 구글 AI 생태계를 개인의 업무와 삶에 연결하는 구체적인 비법을 제시한다."
42,슈퍼휴먼 슈퍼워크,https://www.yes24.com/product/goods/180953300,"유호현, 김진실",골든래빗,2026년 03월,"21,600","24,000","4,947",9.9,105,"저자는 실리콘밸리에서 10년간 트위터, 에어비앤비에서 소프트웨어 엔지니어로서 그리고 스타트업 창업자로서 활약했다. 2020년 스타트업을 창업했으나, 2023년 사업 위기로 21명의 직원을 모두 해고하고 혼자 남았다. 절망의 순간, AI와의 협업을 시작했다. 이후 혼자서 10개 기업을 동시에 컨설팅하며 J 커브 매출을 기록했고, 이 경험을 바탕으로 AI 시대 '슈퍼워크' 방법론을 정립했다."
43,중국 AI 미래 지도,https://www.yes24.com/product/goods/191700749,"임선영, 정진호",책만,2026년 06월,"24,300","27,000","6,537",9.7,12,"중국은 지금 정치, 산업, 교육, 자본, 기술을 하나의 설계도 아래 통합하며 새로운 세계의 지도를 그리고 있다. AI가 모든 것을 다시 쓰는 시대, 그 지도가 가리키는 미래는 우리가 알던 세상과 전혀 다를 것이다. 그 미래를 먼저 손에 쥔 사람만이 다음 시대의 기회를 자신의 것으로 만들 수 있다."
